set,name,number,unlimited,reverse,promo,1st,shadowless,1st shadowless,fourth,worlds
Fossil,Aerodactyl,1,1,0,0,0,0,0,0,0
Fossil,Articuno,2,1,0,0,0,0,0,0,0
Fossil,Ditto,3,1,0,0,0,0,0,0,0
Fossil,Dragonite,4,1,0,0,0,0,0,0,0
Fossil,Gengar,5,1,0,0,0,0,0,0,0
Fossil,Haunter,6,1,0,0,0,0,0,0,0
Fossil,Hitmonlee,7,1,0,0,0,0,0,0,0
Fossil,Hypno,8,1,0,0,0,0,0,0,0
Fossil,Kabutops,9,1,0,0,0,0,0,0,0
Fossil,Lapras,10,1,0,0,0,0,0,0,0
Fossil,Magneton,11,1,0,0,0,0,0,0,0
Fossil,Moltres,12,1,0,0,0,0,0,0,0
Fossil,Muk,13,1,0,0,0,0,0,0,0
Fossil,Raichu,14,1,0,0,0,0,0,0,0
Fossil,Zapdos,15,1,0,0,0,0,0,0,0
Fossil,Aerodactyl,16,2,0,0,0,0,0,0,0
Fossil,Articuno,17,4,0,0,0,0,0,0,0
Fossil,Ditto,18,0,0,0,1,0,0,0,0
Fossil,Dragonite,19,3,0,0,0,0,0,0,0
Fossil,Gengar,20,2,0,0,0,0,0,0,0
Fossil,Haunter,21,1,0,0,0,0,0,0,0
Fossil,Hitmonlee,22,3,0,0,0,0,0,0,0
Fossil,Hypno,23,1,0,0,0,0,0,0,0
Fossil,Kabutops,24,2,0,0,0,0,0,0,0
Fossil,Lapras,25,2,0,0,0,0,0,0,0
Fossil,Magneton,26,1,0,0,0,0,0,0,0
Fossil,Moltres,27,1,0,0,0,0,0,0,0
Fossil,Muk,28,1,0,0,0,0,0,0,0
Fossil,Raichu,29,1,0,0,1,0,0,0,0
Fossil,Zapdos,30,3,0,0,0,0,0,0,0
Fossil,Arbok,31,1,0,0,1,0,0,0,0
Fossil,Cloyster,32,2,0,0,0,0,0,0,0
Fossil,Gastly,33,3,0,0,0,0,0,0,0
Fossil,Golbat,34,5,0,0,0,0,0,0,0
Fossil,Golduck,35,7,0,0,0,0,0,0,0
Fossil,Golem,36,3,0,0,0,0,0,0,0
Fossil,Graveler,37,6,0,0,0,0,0,0,0
Fossil,Kingler,38,6,0,0,0,0,0,0,0
Fossil,Magmar,39,2,0,0,1,0,0,0,0
Fossil,Omastar,40,3,0,0,0,0,0,0,0
Fossil,Sandslash,41,3,0,0,0,0,0,0,0
Fossil,Seadra,42,4,0,0,0,0,0,0,0
Fossil,Slowbro,43,4,0,0,0,0,0,0,0
Fossil,Tentacruel,44,4,0,0,1,0,0,0,0
Fossil,Weezing,45,4,0,0,0,0,0,0,0
Fossil,Ekans,46,9,0,0,0,0,0,0,0
Fossil,Geodude,47,7,0,0,0,0,0,0,0
Fossil,Grimer,48,8,0,0,0,0,0,0,0
Fossil,Horsea,49,10,0,0,0,0,0,0,0
Fossil,Kabuto,50,5,0,0,2,0,0,0,0
Fossil,Krabby,51,9,0,0,0,0,0,0,0
Fossil,Omanyte,52,6,0,0,1,0,0,0,0
Fossil,Psyduck,53,2,0,0,2,0,0,0,0
Fossil,Shellder,54,9,0,0,1,0,0,0,0
Fossil,Slowpoke,55,6,0,0,2,0,0,0,0
Fossil,Tentacool,56,7,0,0,1,0,0,0,0
Fossil,Zubat,57,7,0,0,1,0,0,0,0
Fossil,Mr. Fuji,58,5,0,0,1,0,0,0,0
Fossil,Energy Search,59,5,0,0,1,0,0,0,0
Fossil,Gambler,60,7,0,0,0,0,0,0,0
Fossil,Recycle,61,7,0,0,2,0,0,0,0
Fossil,Mysterious Fossil,62,4,0,0,2,0,0,0,0
POP Series 3,Jolteon,3,1,0,0,0,0,0,0,0
POP Series 3,Vaporeon,6,1,0,0,0,0,0,0,0
POP Series 3,Marshtomp,15,1,0,0,0,0,0,0,0
POP Series 2,Cacnea,13,1,0,0,0,0,0,0,0
POP Series 2,Luvdisc,14,1,0,0,0,0,0,0,0
POP Series 1,Swellow,15,1,0,0,0,0,0,0,0
Team Rocket,Dark Arbok,2,1,0,0,0,0,0,0,0
Team Rocket,Dark Gyarados,8,1,0,0,0,0,0,0,0
Team Rocket,Dark Weezing,14,1,0,0,0,0,0,0,0
Team Rocket,Dark Golbat,24,1,0,0,0,0,0,0,0
Team Rocket,Dark Hypno,26,2,0,0,0,0,0,0,0
Team Rocket,Dark Magneton,28,1,0,0,0,0,0,0,0
Team Rocket,Dark Slowbro,29,1,0,0,0,0,0,0,0
Team Rocket,Dark Vileplume,30,1,0,0,0,0,0,0,0
Team Rocket,Dark Weezing,31,1,0,0,0,0,0,0,0
Team Rocket,Dark Electrode,34,2,0,0,0,0,0,0,0
Team Rocket,Dark Flareon,35,1,0,0,0,0,0,0,0
Team Rocket,Dark Golduck,37,1,0,0,0,0,0,0,0
Team Rocket,Dark Jolteon,38,0,0,0,1,0,0,0,0
Team Rocket,Dark Kadabra,39,1,0,0,0,0,0,0,0
Team Rocket,Dark Machoke,40,1,0,0,0,0,0,0,0
Team Rocket,Dark Muk,41,1,0,0,0,0,0,0,0
Team Rocket,Dark Persian,42,1,0,0,0,0,0,0,0
Team Rocket,Dark Primeape,43,1,0,0,1,0,0,0,0
Team Rocket,Dark Vaporeon,45,1,0,0,0,0,0,0,0
Team Rocket,Dark Wartortle,46,1,0,0,0,0,0,0,0
Team Rocket,Magikarp,47,0,0,0,1,0,0,0,0
Team Rocket,Porygon,48,2,0,0,0,0,0,0,0
Team Rocket,Abra,49,2,0,0,0,0,0,0,0
Team Rocket,Charmander,50,1,0,0,0,0,0,0,0
Team Rocket,Dark Raticate,51,1,0,0,0,0,0,0,0
Team Rocket,Diglett,52,0,0,0,1,0,0,0,0
Team Rocket,Dratini,53,1,0,0,1,0,0,0,0
Team Rocket,Drowzee,54,2,0,0,0,0,0,0,0
Team Rocket,Eevee,55,2,0,0,0,0,0,0,0
Team Rocket,Ekans,56,2,0,0,0,0,0,0,0
Team Rocket,Grimer,57,2,0,0,0,0,0,0,0
Team Rocket,Koffing,58,1,0,0,0,0,0,0,0
Team Rocket,Machop,59,2,0,0,0,0,0,0,0
Team Rocket,Magnemite,60,1,0,0,0,0,0,0,0
Team Rocket,Mankey,61,1,0,0,0,0,0,0,0
Team Rocket,Meowth,62,1,0,0,0,0,0,0,0
Team Rocket,Oddish,63,1,0,0,0,0,0,0,0
Team Rocket,Ponyta,64,0,0,0,1,0,0,0,0
Team Rocket,Psyduck,65,2,0,0,0,0,0,0,0
Team Rocket,Rattata,66,2,0,0,0,0,0,0,0
Team Rocket,Slowpoke,67,2,0,0,0,0,0,0,0
Team Rocket,Squirtle,68,1,0,0,0,0,0,0,0
Team Rocket,Voltorb,69,1,0,0,0,0,0,0,0
Team Rocket,Zubat,70,1,0,0,0,0,0,0,0
Team Rocket,The Boss's Way,73,1,0,0,0,0,0,0,0
Team Rocket,Challenge!,74,0,0,0,1,0,0,0,0
Team Rocket,Imposter Oak's Revenge,76,2,0,0,0,0,0,0,0
Team Rocket,Nightly Garbage Run,77,1,0,0,0,0,0,0,0
Team Rocket,Goop Gas Attack,78,1,0,0,0,0,0,0,0
Team Rocket,Sleep!,79,2,0,0,0,0,0,0,0
Team Rocket,Full Heal Energy,81,1,0,0,0,0,0,0,0
Team Rocket,Dark Raichu,83,1,0,0,0,0,0,0,0
Wizards Black Star Promos,Pikachu,1,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Electabuzz,2,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Mewtwo,3,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Pikachu,4,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Dragonite,5,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Arcanine,6,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Jigglypuff,7,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Mew,8,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Mew,9,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Meowth,10,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Eevee,11,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Mewtwo,12,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Venusaur,13,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Mewtwo,14,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Cool Porygon,15,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Computer Error,16,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Dark Persian,17,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Team Rocket's Meowth,18,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Sabrina's Abra,19,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Psyduck,20,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Moltres,21,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Articuno,22,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Zapdos,23,0,0,1,0,0,0,0,0
Wizards Black Star Promos,___________'s Pikachu,24,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Flying Pikachu,25,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Pikachu,26,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Pikachu,27,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Surfing Pikachu,28,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Marill,29,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Togepi,30,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Cleffa,31,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Smeargle,32,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Scizor,33,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Entei,34,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Pichu,35,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Igglybuff,36,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Hitmontop,37,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Unown [J],38,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Misdreavus,39,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Pokémon Center,40,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Lucky Stadium,41,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Pokémon Tower,42,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Machamp,43,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Magmar,44,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Scyther,45,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Electabuzz,46,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Mew,47,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Articuno,48,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Snorlax,49,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Celebi,50,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Rapidash,51,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Ho-oh,52,0,0,1,0,0,0,0,0
Wizards Black Star Promos,Suicune,53,0,0,1,0,0,0,0,0
Base,Alakazam,1,1,0,0,0,0,0,0,0
Base,Blastoise,2,1,0,0,0,0,0,0,0
Base,Chansey,3,1,0,0,0,0,0,0,0
Base,Charizard,4,2,0,0,0,0,0,0,0
Base,Clefairy,5,1,0,0,0,0,0,0,0
Base,Gyarados,6,1,0,0,0,0,0,0,0
Base,Hitmonchan,7,1,0,0,0,0,0,0,0
Base,Machamp,8,0,0,0,3,0,0,0,0
Base,Magneton,9,1,0,0,0,0,0,0,0
Base,Mewtwo,10,1,0,0,0,0,0,0,0
Base,Nidoking,11,1,0,0,0,0,0,0,0
Base,Ninetales,12,1,0,0,0,0,0,0,0
Base,Poliwrath,13,1,0,0,0,0,0,0,0
Base,Raichu,14,1,0,0,0,0,0,0,0
Base,Venusaur,15,1,0,0,0,0,0,0,0
Base,Zapdos,16,1,0,0,0,0,0,0,0
Base,Beedrill,17,1,0,0,0,0,0,0,0
Base,Dragonair,18,1,0,0,0,0,0,0,0
Base,Dugtrio,19,1,0,0,0,0,0,0,0
Base,Electabuzz,20,1,0,0,0,0,0,0,0
Base,Electrode,21,2,0,0,0,0,0,0,0
Base,Pidgeotto,22,1,0,0,0,0,0,0,0
Base,Arcanine,23,3,0,0,0,1,0,0,0
Base,Charmeleon,24,5,0,0,0,1,0,0,0
Base,Dewgong,25,2,0,0,0,0,0,0,0
Base,Dratini,26,5,0,0,0,0,0,0,0
Base,Farfetch'd,27,4,0,0,0,0,0,0,0
Base,Growlithe,28,3,0,0,0,0,0,0,0
Base,Haunter,29,3,0,0,0,0,0,0,0
Base,Ivysaur,30,4,0,0,0,0,0,0,0
Base,Jynx,31,3,0,0,0,0,0,0,0
Base,Kadabra,32,5,0,0,0,0,0,0,0
Base,Kakuna,33,3,0,0,0,1,0,0,0
Base,Machoke,34,4,0,0,0,1,0,0,0
Base,Magikarp,35,3,0,0,0,0,0,0,0
Base,Magmar,36,3,0,0,0,0,0,0,0
Base,Nidorino,37,1,0,0,0,0,0,0,0
Base,Poliwhirl,38,5,0,0,0,0,0,0,0
Base,Porygon,39,2,0,0,0,0,0,0,0
Base,Raticate,40,2,0,0,0,0,0,0,0
Base,Seel,41,5,0,0,0,0,0,0,0
Base,Wartortle,42,3,0,0,0,0,0,0,0
Base,Abra,43,4,0,0,0,0,0,0,0
Base,Bulbasaur,44,5,0,0,0,1,0,0,0
Base,Caterpie,45,4,0,0,0,0,0,0,0
Base,Charmander,46,12,0,0,0,1,0,0,0
Base,Diglett,47,7,0,0,0,0,0,0,0
Base,Doduo,48,2,0,0,0,0,0,0,0
Base,Drowzee,49,3,0,0,0,1,0,0,0
Base,Gastly,50,5,0,0,0,0,0,0,0
Base,Koffing,51,6,0,0,0,0,0,0,0
Base,Machop,52,6,0,0,0,0,0,0,0
Base,Magnemite,53,3,0,0,0,1,0,0,0
Base,Metapod,54,5,0,0,0,0,0,0,0
Base,Nidoran♂,55,3,0,0,0,0,0,0,0
Base,Onix,56,3,0,0,0,0,0,0,0
Base,Pidgey,57,2,0,0,0,1,0,0,0
Base,Pikachu,58,10,0,0,0,0,0,0,0
Base,Poliwag,59,12,0,0,0,1,0,0,0
Base,Ponyta,60,9,0,0,0,0,0,0,0
Base,Rattata,61,5,0,0,0,0,0,0,0
Base,Sandshrew,62,3,0,0,0,0,0,0,0
Base,Squirtle,63,5,0,0,0,1,0,0,0
Base,Starmie,64,4,0,0,0,0,0,0,0
Base,Staryu,65,5,0,0,0,0,0,0,0
Base,Tangela,66,5,0,0,0,0,0,0,0
Base,Voltorb,67,4,0,0,0,0,0,0,0
Base,Vulpix,68,5,0,0,0,0,0,0,0
Base,Weedle,69,4,0,0,0,0,0,0,0
Base,Clefairy Doll,70,1,0,0,0,0,0,0,0
Base,Computer Search,71,2,0,0,0,0,0,0,0
Base,Devolution Spray,72,1,0,0,0,0,0,0,0
Base,Impostor Professor Oak,73,1,0,0,0,0,0,0,0
Base,Item Finder,74,1,0,0,0,0,0,0,0
Base,Lass,75,2,0,0,0,0,0,0,0
Base,Pokémon Breeder,76,2,0,0,0,0,0,0,0
Base,Pokémon Trader,77,1,0,0,0,0,0,0,0
Base,Scoop Up,78,2,0,0,0,0,0,0,0
Base,Super Energy Removal,79,1,0,0,0,0,0,0,0
Base,Defender,80,2,0,0,0,0,0,0,0
Base,Energy Retrieval,81,2,0,0,0,0,0,0,0
Base,Full Heal,82,1,0,0,0,0,0,0,0
Base,Maintenance,83,1,0,0,0,0,0,0,0
Base,PlusPower,84,3,0,0,0,0,0,0,0
Base,Pokémon Center,85,2,0,0,0,1,0,0,0
Base,Pokémon Flute,86,1,0,0,0,0,0,0,0
Base,Pokédex,87,3,0,0,0,0,0,0,0
Base,Professor Oak,88,4,0,0,0,0,0,0,0
Base,Revive,89,4,0,0,0,0,0,0,0
Base,Super Potion,90,3,0,0,0,0,0,0,0
Base,Bill,91,5,0,0,0,0,0,0,0
Base,Energy Removal,92,6,0,0,0,0,0,0,0
Base,Gust of Wind,93,10,0,0,0,0,0,0,0
Base,Potion,94,10,0,0,0,0,0,0,0
Base,Switch,95,6,0,0,0,0,0,0,0
Base,Double Colorless Energy,96,2,0,0,0,0,0,0,0
Base,Fighting Energy,97,2,0,0,0,0,0,0,0
Base,Fire Energy,98,1,0,0,0,1,0,0,0
Base,Grass Energy,99,1,0,0,0,1,0,0,0
Base,Lightning Energy,100,1,0,0,0,1,0,0,0
Base,Psychic Energy,101,2,0,0,0,0,0,0,0
Base,Water Energy,102,1,0,0,0,1,0,0,0
Jungle,Clefable,1,1,0,0,0,0,0,0,0
Jungle,Electrode,2,1,0,0,0,0,0,0,0
Jungle,Flareon,3,1,0,0,0,0,0,0,0
Jungle,Jolteon,4,1,0,0,0,0,0,0,0
Jungle,Kangaskhan,5,1,0,0,0,0,0,0,0
Jungle,Mr. Mime,6,1,0,0,0,0,0,0,0
Jungle,Nidoqueen,7,1,0,0,0,0,0,0,0
Jungle,Pidgeot,8,1,0,0,0,0,0,0,0
Jungle,Pinsir,9,1,0,0,0,0,0,0,0
Jungle,Scyther,10,1,0,0,0,0,0,0,0
Jungle,Snorlax,11,1,0,0,0,0,0,0,0
Jungle,Vaporeon,12,1,0,0,0,0,0,0,0
Jungle,Venomoth,13,1,0,0,0,0,0,0,0
Jungle,Victreebel,14,1,0,0,0,0,0,0,0
Jungle,Vileplume,15,0,0,0,1,0,0,0,0
Jungle,Wigglytuff,16,1,0,0,0,0,0,0,0
Jungle,Clefable,17,1,0,0,0,0,0,0,0
Jungle,Electrode,18,2,0,0,0,0,0,0,0
Jungle,Flareon,19,1,0,0,0,0,0,0,0
Jungle,Jolteon,20,1,0,0,0,0,0,0,0
Jungle,Kangaskhan,21,1,0,0,0,0,0,0,0
Jungle,Mr. Mime,22,1,0,0,0,0,0,0,0
Jungle,Nidoqueen,23,3,0,0,0,0,0,0,0
Jungle,Pidgeot,24,1,0,0,0,0,0,0,0
Jungle,Pinsir,25,1,0,0,0,0,0,0,0
Jungle,Scyther,26,1,0,0,0,0,0,0,0
Jungle,Snorlax,27,1,0,0,0,0,0,0,0
Jungle,Vaporeon,28,2,0,0,0,0,0,0,0
Jungle,Venomoth,29,2,0,0,0,0,0,0,0
Jungle,Victreebel,30,1,0,0,0,0,0,0,0
Jungle,Vileplume,31,2,0,0,0,0,0,0,0
Jungle,Wigglytuff,32,2,0,0,0,0,0,0,0
Jungle,Butterfree,33,2,0,0,0,0,0,0,0
Jungle,Dodrio,34,5,0,0,0,0,0,0,0
Jungle,Exeggutor,35,2,0,0,1,0,0,0,0
Jungle,Fearow,36,3,0,0,0,0,0,0,0
Jungle,Gloom,37,5,0,0,0,0,0,0,0
Jungle,Lickitung,38,4,0,0,0,0,0,0,0
Jungle,Marowak,39,2,0,0,0,0,0,0,0
Jungle,Nidorina,40,6,0,0,0,0,0,0,0
Jungle,Parasect,41,3,0,0,1,0,0,0,0
Jungle,Persian,42,6,0,0,0,0,0,0,0
Jungle,Primeape,43,2,0,0,0,0,0,0,0
Jungle,Rapidash,44,4,0,0,2,0,0,0,0
Jungle,Rhydon,45,4,0,0,0,0,0,0,0
Jungle,Seaking,46,1,0,0,0,0,0,0,0
Jungle,Tauros,47,5,0,0,0,0,0,0,0
Jungle,Weepinbell,48,3,0,0,0,0,0,0,0
Jungle,Bellsprout,49,5,0,0,1,0,0,0,0
Jungle,Cubone,50,8,0,0,0,0,0,0,0
Jungle,Eevee,51,11,0,0,0,0,0,0,0
Jungle,Exeggcute,52,7,0,0,0,0,0,0,0
Jungle,Goldeen,53,7,0,0,0,0,0,0,0
Jungle,Jigglypuff,54,9,0,0,1,0,0,0,0
Jungle,Mankey,55,8,0,0,1,0,0,0,0
Jungle,Meowth,56,13,0,0,0,0,0,0,0
Jungle,Nidoran♀,57,7,0,0,0,0,0,0,0
Jungle,Oddish,58,3,0,0,0,0,0,0,0
Jungle,Paras,59,7,0,0,0,0,0,0,0
Jungle,Pikachu,60,8,0,0,0,0,0,0,0
Jungle,Rhyhorn,61,9,0,0,1,0,0,0,0
Jungle,Spearow,62,5,0,0,1,0,0,0,0
Jungle,Venonat,63,7,0,0,0,0,0,0,0
Jungle,Poké Ball,64,9,0,0,0,0,0,0,0
Neo Revelation,Lanturn,32,1,0,0,0,0,0,0,0
Neo Revelation,Magcargo,33,1,0,0,0,0,0,0,0
Neo Revelation,Octillery,34,1,0,0,0,0,0,0,0
Neo Revelation,Unown [B],39,1,0,0,0,0,0,0,0
Neo Revelation,Unown [Y],40,1,0,0,0,0,0,0,0
Neo Revelation,Aipom,41,1,0,0,0,0,0,0,0
Neo Revelation,Chinchou,42,1,0,0,0,0,0,0,0
Neo Revelation,Murkrow,46,1,0,0,0,0,0,0,0
Neo Revelation,Quagsire,48,1,0,0,0,0,0,0,0
Neo Revelation,Qwilfish,49,1,0,0,0,0,0,0,0
Neo Revelation,Remoraid,50,1,0,0,0,0,0,0,0
Neo Revelation,Shuckle,51,1,0,0,0,0,0,0,0
Neo Revelation,Skiploom,52,1,0,0,0,0,0,0,0
Neo Revelation,Slugma,53,1,0,0,0,0,0,0,0
Neo Revelation,Smoochum,54,1,0,0,0,0,0,0,0
Neo Revelation,Swinub,57,1,0,0,0,0,0,0,0
Neo Revelation,Unown [K],58,1,0,0,0,0,0,0,0
POP Series 5,Ho-oh,1,1,0,0,0,0,0,0,0
POP Series 5,Lugia,2,1,0,0,0,0,0,0,0
Neo Discovery,Hitmontop,3,1,0,0,0,0,0,0,0
Neo Discovery,Unown [A],14,1,0,0,0,0,0,0,0
Neo Discovery,Yanma,17,1,0,0,0,0,0,0,0
Neo Discovery,Espeon,20,1,0,0,0,0,0,0,0
Neo Discovery,Forretress,21,1,0,0,0,0,0,0,0
Neo Discovery,Unown [A],33,1,0,0,0,0,0,0,0
Neo Discovery,Wobbuffet,35,1,0,0,0,0,0,0,0
Neo Discovery,Corsola,37,1,0,0,0,0,0,0,0
Neo Discovery,Houndour,39,1,0,0,0,0,0,0,0
Neo Discovery,Igglybuff,40,1,0,0,0,0,0,0,0
Neo Discovery,Poliwhirl,44,1,0,0,0,0,0,0,0
Neo Discovery,Pupitar,45,1,0,0,0,0,0,0,0
Neo Discovery,Unown [D],47,2,0,0,0,0,0,0,0
Neo Discovery,Unown [F],48,1,0,0,0,0,0,0,0
Neo Discovery,Unown [M],49,1,0,0,0,0,0,0,0
Neo Discovery,Unown [N],50,1,0,0,0,0,0,0,0
Neo Discovery,Unown [U],51,1,0,0,0,0,0,0,0
Neo Discovery,Xatu,52,1,0,0,0,0,0,0,0
Neo Discovery,Caterpie,53,1,0,0,0,0,0,0,0
Neo Discovery,Dunsparce,54,1,0,0,0,0,0,0,0
Neo Discovery,Hoppip,55,1,0,0,0,0,0,0,0
Neo Discovery,Kabuto,56,1,0,0,0,0,0,0,0
Neo Discovery,Larvitar,57,1,0,0,0,0,0,0,0
Neo Discovery,Natu,59,1,0,0,0,0,0,0,0
Neo Discovery,Omanyte,60,1,0,0,0,0,0,0,0
Neo Discovery,Pineco,61,1,0,0,0,0,0,0,0
Neo Discovery,Poliwag,62,1,0,0,0,0,0,0,0
Neo Discovery,Sentret,63,1,0,0,0,0,0,0,0
Neo Discovery,Spinarak,64,1,0,0,0,0,0,0,0
Neo Discovery,Teddiursa,65,1,0,0,0,0,0,0,0
Neo Discovery,Tyrogue,66,1,0,0,0,0,0,0,0
Neo Discovery,Unown [E],67,2,0,0,0,0,0,0,0
Neo Discovery,Unown [I],68,2,0,0,0,0,0,0,0
Neo Discovery,Unown [O],69,2,0,0,0,0,0,0,0
Neo Discovery,Wooper,71,1,0,0,0,0,0,0,0
Neo Discovery,Ruin Wall,74,1,0,0,0,0,0,0,0
POP Series 7,Ralts,15,1,0,0,0,0,0,0,0
POP Series 6,Gible,7,1,0,0,0,0,0,0,0
POP Series 6,Chimchar,14,1,0,0,0,0,0,0,0
POP Series 6,Turtwig,17,1,0,0,0,0,0,0,0
Legendary Collection,Charmander,70,1,0,0,0,0,0,0,0
Sandstorm,Pichu,20,1,0,0,0,0,0,0,0
Sandstorm,Shiftry,22,1,0,0,0,0,0,0,0
Sandstorm,Breloom,33,1,0,0,0,0,0,0,0
Sandstorm,Illumise,38,1,0,0,0,0,0,0,0
Sandstorm,Linoone,44,1,0,0,0,0,0,0,0
Sandstorm,Nuzleaf,48,1,0,0,0,0,0,0,0
Sandstorm,Vigoroth,52,1,0,0,0,0,0,0,0
Sandstorm,Duskull,61,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni's Machamp,6,1,0,0,0,0,0,0,0
Gym Challenge,Rocket's Mewtwo,14,1,0,0,0,0,0,0,0
Gym Challenge,Blaine,17,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina,20,1,0,0,0,0,0,0,0
Gym Challenge,Brock's Dugtrio,22,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni's Pinsir,24,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Arbok,25,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Gengar,29,1,0,0,0,0,0,0,0
Gym Challenge,Blaine's Charmeleon,31,1,0,0,0,0,0,0,0
Gym Challenge,Brock's Vulpix,37,1,0,0,0,0,0,0,0
Gym Challenge,Erika's Ivysaur,41,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Kakuna,47,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Koffing,48,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Haunter,55,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Mr. Mime,59,1,0,0,0,0,0,0,0
Gym Challenge,Blaine's Growlithe,62,1,0,0,0,0,0,0,0
Gym Challenge,Brock's Geodude,68,1,0,0,0,0,0,0,0
Gym Challenge,Erika's Oddish,70,1,0,0,0,0,0,0,0
Gym Challenge,Erika's Paras,71,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni's Machop,72,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni's Meowth,74,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni's Nidoran♀,75,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni's Nidoran♂,76,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Ekans,77,2,0,0,0,0,0,0,0
Gym Challenge,Koga's Koffing,79,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Pidgey,80,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Tangela,81,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Weedle,82,1,0,0,0,0,0,0,0
Gym Challenge,Koga's Zubat,83,1,0,0,0,0,0,0,0
Gym Challenge,Lt. Surge's Pikachu,84,1,0,0,0,0,0,0,0
Gym Challenge,Lt. Surge's Voltorb,86,1,0,0,0,0,0,0,0
Gym Challenge,Misty's Poliwag,89,1,0,0,0,0,0,0,0
Gym Challenge,Misty's Psyduck,90,1,0,0,0,0,0,0,0
Gym Challenge,Misty's Staryu,92,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Abra,93,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Drowzee,95,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Gastly,96,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Gastly,97,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Porygon,98,1,0,0,0,0,0,0,0
Gym Challenge,Giovanni,104,1,0,0,0,0,0,0,0
Gym Challenge,Fuchsia City Gym,114,1,0,0,0,0,0,0,0
Gym Challenge,Rocket's Minefield Gym,119,1,0,0,0,0,0,0,0
Gym Challenge,Sabrina's Psychic Control,121,1,0,0,0,0,0,0,0
