set,,name,number,unlimited,reverse,promo
McDonald's Promos 2019,McDonald's Promos 2019 4,Alolan Sandshrew,4,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH032,Snorlax,SWSH032,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH031,Morpeko,SWSH031,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH029,Rayquaza,SWSH029,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH028,Duraludon,SWSH028,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH027,Noctowl,SWSH027,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH026,Mantine,SWSH026,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH025,Garbodor,SWSH025,0,0,1
SWSH Black Star Promos,SWSH Black Star Promos SWSH024,Coalossal,SWSH024,0,0,1
Celestial Storm,Celestial Storm 1,Bellsprout,1,2,2,0
Celestial Storm,Celestial Storm 2,Weepinbell,2,2,0,0
Celestial Storm,Celestial Storm 3,Victreebel,3,1,0,0
Celestial Storm,Celestial Storm 4,Scyther,4,1,0,0
Celestial Storm,Celestial Storm 5,Spinarak,5,2,0,0
Celestial Storm,Celestial Storm 7,Treecko,7,1,0,0
Celestial Storm,Celestial Storm 8,Treecko,8,2,0,0
Celestial Storm,Celestial Storm 9,Grovyle,9,1,1,0
Celestial Storm,Celestial Storm 10,Sceptile,10,1,0,0
Celestial Storm,Celestial Storm 11,Seedot,11,0,1,0
Celestial Storm,Celestial Storm 12,Seedot,12,2,0,0
Celestial Storm,Celestial Storm 13,Nuzleaf,13,2,1,0
Celestial Storm,Celestial Storm 15,Surskit,15,2,0,0
Celestial Storm,Celestial Storm 16,Masquerain,16,1,0,0
Celestial Storm,Celestial Storm 17,Volbeat,17,1,0,0
Celestial Storm,Celestial Storm 18,Illumise,18,1,0,0
Celestial Storm,Celestial Storm 19,Cacnea,19,2,0,0
Celestial Storm,Celestial Storm 20,Cacturne,20,0,1,0
Celestial Storm,Celestial Storm 21,Tropius,21,1,0,0
Celestial Storm,Celestial Storm 22,Dhelmise,22,1,0,0
Celestial Storm,Celestial Storm 23,Slugma,23,2,1,0
Celestial Storm,Celestial Storm 24,Magcargo,24,1,1,0
Celestial Storm,Celestial Storm 25,Torchic,25,1,1,0
Celestial Storm,Celestial Storm 26,Torchic,26,2,0,0
Celestial Storm,Celestial Storm 27,Combusken,27,2,0,0
Celestial Storm,Celestial Storm 29,Torkoal,29,2,0,0
Celestial Storm,Celestial Storm 30,Oricorio,30,1,0,0
